H-163,शिशु रोगों की ग्रह चिकित्सा ,मुखर्जी कुलर्जी ,प्राकृतिक चिकित्सालय कलकत्ता
H-164,प्राकृतिक उच्च रक्तचाप के लिए,दीवान आनंद प्रकाश  ,सेवक प्राकृतिक चिकित्सा 
H-165,अभिनव प्राकृतिक चिकित्सा ,मुखर्जी कुलरजंन ,प्राकृतिक चिकित्सालय कलकत्ता
H-166,रोगो की सही चिकित्सा ,मंजू नीरज ,निरोगी दुनिया प्रकाशन जयपुर 
H-167,वनस्पति विज्ञान की मूलभूत शब्दावली,,वैज्ञानिक तथा तकनीकी शब्दावली आयोग
H-168,अखिल भारतीय शब्दावली ,,वैज्ञानिक तथा तकनीकी शब्दावली आयोग
H-169,अखिल भारतीय शब्दावली ,,वैज्ञानिक तथा तकनीकी शब्दावली आयोग
H-170,अखिल भारतीय शब्दावली ,,वैज्ञानिक तथा तकनीकी शब्दावली आयोग
H-171,अखिल भारतीय शब्दावली ,,वैज्ञानिक तथा तकनीकी शब्दावली आयोग
H-172,अखिल भारतीय शब्दावली ,,वैज्ञानिक तथा तकनीकी शब्दावली आयोग
H-173,अखिल भारतीय शब्दावली ,,वैज्ञानिक तथा तकनीकी शब्दावली आयोग
H-174,प्राकृतिक स्वास्थ्य एवं सौन्दर्य,कपिल डाँ. सुरेन्द्र ,"पापुलर बुक डिपो,  जयपुर"
H-175,ययाति ,खाण्डेकर विष्णु सखाराम ,राजपाल एण्ड सन्स दिल्ली 
H-176,मोटापा और बुढापा ,गुप्त रामेश्वर दास,ऋचा प्रकाशन नई दिल्ली 
H-177,वनस्पति विज्ञान की मूलभूत शब्दावली,,वैज्ञानिक तथा तकनीकी शब्दावली आयोग
H-178,वनस्पति विज्ञान की मूलभूत शब्दावली,,वैज्ञानिक तथा तकनीकी शब्दावली आयोग
H-179,वनस्पति विज्ञान की मूलभूत शब्दावली,,वैज्ञानिक तथा तकनीकी शब्दावली आयोग
H-180,A Glimpse of the human body  ,Tells Shirley       ,Swami vivekanand do yga
H-181,भारतीय शौर्य गाथा ,द्विवेदी दयाशंकर ,तरूण प्रकाशन 
H-182,धर्मविज्ञान  ,विवेकानन्द स्वामी ,"राम—कृष्णमठ ,  नागपुर "
H-183,राजयोग (द्वादश सस्करण  ),विवेकानन्द स्वामी  ,
H-184,भूगोल की मूलभूत शब्दावली ,,वैज्ञानिक तथा तकनीकी शब्दावली आयोग
H-185,भौतिकी की मूलभूत शब्दावली ,,वैज्ञानिक तथा तकनीकी शब्दावली आयोग
H-186,भौतिकी की मूलभूत शब्दावली ,,वैज्ञानिक तथा तकनीकी शब्दावली आयोग
H-187,पशु चिकित्सा विज्ञान की मूलभूत शब्दावली ,,वैज्ञानिक तथा तकनीकी शब्दावली आयोग
H-188,New perspective in stress mang ,Vivekanad Swami ,
H-189,कब तक पुकारू ,राधव रागेंय,"राजपाल एण्ड सन्स , दिल्ली          "
H-190,न्याय एवं वैशेषिक दर्शन ,शर्मा श्री राम ,वेद माता गायत्री ट्रस्ट हरिद्वार
H-191,सांख्यदर्शन एवं योगदर्शन ,शर्मा श्री राम ,वेद माता गायत्री ट्रस्ट हरिद्वार
H-192,प्राकृतिक आयुर्विज्ञान ,गौड डाँ.गंगा प्रसाद ‘नाहर’,आरोग्य सेवा प्रकाशन 
H-193,अक्षयवट ,शर्मा नासिरा ,भारतीय ज्ञानपीठ 
H-194,ध्यान धर्म तथा साधना ,स्वामी ब्रम्हानन्दजी ,"राम—कृष्ण मठ , नागपुर"
H-195,संजीवनी बूटी तुलसी ,गुप्ता श्रीमती राजकुमारी,"पापुलर बुक डिपो , जयपुर"
H-196,धर्म जीवन जीने की कला ,गोयनका सत्यनारायण,विफश्यना विशोधन विन्यास 
H-197,मधुमेह की जडी बूटी चिकित्सा ,दाश वैध भगवान  ,बी.जैन पब्लिशर्स प्रा.लि.
H-198,अनमोल मिट्टी के बोल ,कुमार डाँ. नागेन्द्र (नीरज )  ,माँ सीता स्म्रती स्वास्थ्य शोध प्रकाशनमाला सीकर
H-199,नींबू,गुप्ता राजकुमारी ,"पापुलर बुक डिपो , जयपुर"
H-200,विश्व वसुधा जिनकी सदा ऋणी रहेगी ,बाडमय प. श्रीराम शर्मा ,अखण्ड ज्योति संस्थान मथुरा 
H-201,विज्ञान और अध्यात्म परस्पर पूरक,बाडमय पं.श्रीराम शर्मा ,अखण्ड ज्योति संस्थान मथुरा 
H-202,मानसरोवर  भाग- 2,प्रेमचंद ,"प्रकाशन संस्थान , नई दिल्ली"
H-203,मानसरोवर  भाग- 3,प्रेमचंद ,"प्रकाशन संस्थान , नई दिल्ली"
H-204,मानसरोवर  भाग- 4,प्रेमचंद ,"प्रकाशन संस्थान , नई दिल्ली"
H-205,मानसरोवर  भाग- 5,प्रेमचंद ,"प्रकाशन संस्थान , नई दिल्ली"
H-206,मानसरोवर  भाग- 6,प्रेमचंद ,"प्रकाशन संस्थान , नई दिल्ली"
H-207,मानसरोवर  भाग- 7,प्रेमचंद ,"प्रकाशन संस्थान , नई दिल्ली"
H-208,मानसरोवर  भाग- 8,प्रेमचंद ,"प्रकाशन संस्थान , नई दिल्ली"
H-209,अधिकार (महासमर-2 ),कोहली नरेन्द्र ,"वाणी प्रकाशन , नई दिल्ली"
H-210,कर्म महासमर- 3,कोहली नरेन्द्र ,"वाणी प्रकाशन , नई दिल्ली"
H-211,प्रच्छन्न् (महासमर-6 ),कोहली नरेन्द्र,"वाणी प्रकाशन , नई दिल्ली"
H-212,प्रत्यक्ष महासमर- 7,कोहली नरेन्द्र ,"वाणी प्रकाशन , नई दिल्ली"
H-213,निर्बन्ध,कोहली नरेन्द्र ,"वाणी प्रकाशन , नई दिल्ली"
H-214,प्रभात व्यावहारिक हिन्दी अग्रेंजी कोश ,कपूर बद्रीनाथ,"प्रभात प्रकाशन ,दिल्ली"
H-215,युगन्धर ,सावंत शिवाजी ,भारतीय ज्ञानपीठ
H-216,राजयोग (पन्द्रहवाँ सस्करण),विवेकानन्द स्वामी,"राम—कृष्ण मठ , नागपुर"
H-217,युग द्रस्टा का जीवन दर्शन ,आचार्य पं.श्रीराम शर्मा भाग-1,"अखण्ड ज्योति संस्थान, मथुरा "
H-218,जीवन देवता की साधना अमर होना  ,आचार्य पं.श्रीराम शर्मा भाग-2,"अखण्ड ज्योति संस्थान, मथुरा "
H-219,उपासना समपर्ण योग ,आचार्य पं.श्रीराम शर्मा भाग-3,"अखण्ड ज्योति संस्थान, मथुरा "
H-220,साधना पद्धतियों का ज्ञान और विज्ञान,आचार्य पं.श्रीराम शर्मा भाग-4,"अखण्ड ज्योति संस्थान, मथुरा "
H-221,साधना से सिद्धि -1,आचार्य पं.श्रीराम शर्मा भाग-5,"अखण्ड ज्योति संस्थान, मथुरा "
H-222,साधना से सिद्धि -2,आचार्य पं.श्रीराम शर्मा भाग-6,"अखण्ड ज्योति संस्थान, मथुरा "
H-223,प्रसुप्ति से जाग्रति की ओर ,आचार्य पं.श्रीराम शर्मा भाग-7,"अखण्ड ज्योति संस्थान, मथुरा "
